pergunta,opcao_a,opcao_b,opcao_c,opcao_d,resposta_correta,ano,orgao
"O parecer técnico em auditoria deve conter:","Opinião fundamentada","Recomendações de punição","Sugestões de legislação","Relatório financeiro","a","2023","Tribunal de Contas"
"A modalidade de licitação dispensada para obras até R$ 50.000,00 é:","Pregão","Concorrência","Dispensa","Inexigibilidade","c","2022","Câmara Legislativa"
"O ato que confirma ato administrativo nulo é:","Ratificação","Convalidação","Revalidação","Confirmação","b","2023","Controladoria"
"Conforme a LAI, as informações classificadas como ultrassecretas têm prazo máximo de sigilo de:","5 anos","10 anos","15 anos","25 anos","d","2022","Secretaria"
"Na contabilidade, o princípio que pressupõe continuidade nas atividades é:","Entidade","Competência","Oportunidade","Registro","a","2023","Tribunal de Contas"
"O controle parlamentar sobre os atos do Poder Executivo é exercido mediante:","Fiscalização contábil","Comissões parlamentares de inquérito","Aprovação de decretos","Nomeação de ministros","b","2022","Câmara Federal"
"Conforme a LRF, o limite para operações de crédito entre entes federados é:","0,5% da receita corrente líquida","1% da receita corrente líquida","1,5% da receita corrente líquida","2% da receita corrente líquida","b","2023","Prefeitura"
"O princípio da especialização orçamentária refere-se a:","Unidade","Universalidade","Programação","Discriminação","d","2022","Secretaria de Planejamento"
"Na auditoria governamental, a amostragem estatística é utilizada para:","Reduzir custos","Aumentar precisão","Testar controles","Todas as alternativas","d","2023","Tribunal de Contas"
"O ato administrativo discricionário caracteriza-se pela:","Liberdade de escolha","Obrigatoriedade","Vinculação legal","Exigibilidade","a","2022","Câmara Municipal"
"Conforme a Lei Anticorrupção (12.846/2013), as sanções aplicáveis às pessoas jurídicas incluem:","Multa","Suspensão de atividades","Declaração de inidoneidade","Todas as alternativas","d","2023","Controladoria-Geral"
"No ciclo orçamentário, a etapa que antecede a execução é:","Elaboração","Aprovação","Planejamento","Avaliação","b","2022","Governo Estadual"
"O documento que formaliza a emissão de parecer técnico em controle interno é:","Relatório de auditoria","Processo administrativo","Portaria normativa","Recomendação técnica","a","2023","Tribunal de Contas"
"A modalidade de licitação para compra de bens comuns é:","Pregão","Concorrência","Convite","Leilão","a","2022","Prefeitura"
"O princípio da moralidade administrativa está relacionado com:","Ética","Eficácia","Eficiência","Economicidade","a","2023","Câmara Legislativa"
"Conforme a LRF, o limite para despesa total com pessoal no Legislativo municipal é:","3% da RCL","5% da RCL","6% da RCL","7% da RCL","c","2022","Câmara Municipal"
"Na contabilidade, o registro de previsão da receita ocorre na fase de:","Elaboração","Lançamento","Arrecadação","Reconhecimento","a","2023","Secretaria de Finanças"
"O controle externo exercido pelos Tribunais de Contas é do tipo:","Judicial","Administrativo","Legislativo","Financeiro","c","2022","Assembleia Legislativa"
"Conforme a Lei 8.429/1992, o ato de improbidade que causa enriquecimento ilícito está previsto no:","Art. 9º","Art. 10","Art. 11","Art. 12","a","2023","Ministério Público"
"O estágio da receita que efetiva o ingresso nos cofres públicos é:","Lançamento","Arrecadação","Recolhimento","Reconhecimento","b","2022","Tribunal de Contas"
"Na análise de risco em auditoria, o componente que independe dos controles internos é:","Risco inerente","Risco de controle","Risco de detecção","Risco absoluto","a","2023","Controladoria"
"A modalidade de licitação dispensável para serviços técnicos especializados é:","Inexigibilidade","Dispensa","Concurso","Tomada de preços","a","2022","Prefeitura"
"O princípio da eficiência exige que a administração pública atue com:","Economicidade","Celeridade","Eficácia","Todas as alternativas","d","2023","Câmara Municipal"
"Conforme a LRF, a despesa com pessoal inclui:","Vencimentos","Obrigações patronais","Verbas indenizatórias","Todas as alternativas","d","2022","Governo Estadual"
"Na contabilidade pública, o grupo de contas que registra bens e direitos é:","Ativo","Passivo","Patrimônio Líquido","Resultado","a","2023","Tribunal de Contas"
"O instrumento de controle prévio sobre atos de admissão de pessoal é:","Registro prévio","Parecer técnico","Anuência legislativa","Aprovação contábil","c","2022","Câmara Legislativa"
"Conforme a Lei 14.133/2021, o valor máximo para dispensa de licitação na modalidade pregão é:","R$ 100.000,00","R$ 150.000,00","R$ 176.400,00","R$ 200.000,00","c","2023","Controladoria-Geral"
"O parecer do controle interno que analisa a legalidade de despesas é denominado:","Certidão de regularidade","Manifestação técnica","Relatório de auditoria","Laudo de conformidade","b","2022","Prefeitura"
"Na execução orçamentária, o crédito adicional que reabre dotações extintas é o:","Suplementar","Especial","Extraordinário","Reabertor","b","2023","Secretaria de Planejamento"
"O princípio constitucional que veda acumulação remunerada de cargos públicos é o da:","Impessoalidade","Eficiência","Moralidade","Isonomia","c","2022","Câmara Federal"
